,roles,companies,locations,experience,skills
352,"Data Scientist, ISS",Amazon,Hyderabad,2-7 Yrs,"Automation, Data analysis, SAS, Analytical, Machine learning, ISS, Perl, Data quality"
353,Data Scientist,Ford,Chennai,2-7 Yrs,"Automation, C++, Version control, GCP, Analytical, Machine learning, Data mining, SQL"
354,Data Scientist - FP&A,Paypal,Bengaluru,3-6 Yrs,"Cloud computing, Automation, data science, Analytical, Risk assessment, Financial planning, Machine learning, Operations"
355,Data Scientist,Istar Business Solutions,Chennai,7-10 Yrs,"Machine Learning, Python, base coding, SQL, Coding, Base, Machine, Data"
356,Data Scientist / Machine Learning Engineer Gen AI & LLM,Databricks,Bengaluru,3-7 Yrs,"tensorflow, scikit-learn, gcp, pytorch, microsoft azure, aws, machine learning, Microsoft"
357,Data Scientist,Tokopedia,Bengaluru,1-2 Yrs,"Computer science, Operations research, Prototype, Version control, Formulation, Machine learning, Data processing, SQL"
358,Data Scientist / ML Engineer,Rarr Technologies,Bengaluru,5-10 Yrs,"Computer science, Automation, Version control, GIT, Analytical, Machine learning, Data collection, Distribution system"
359,Data Scientist,Gojek,Bengaluru,1-2 Yrs,"Operations research, Prototype, Version control, Machine learning, Data processing, SQL, Python, Technical documentation"
360,Data Scientist,Global Banking Organization,Remote,4-7 Yrs,"NLP, AI Artificial intelligence, Computer Vision, Machine Learning, Python, Natural language processing, Intelligence, Vision"
361,Data Scientist - BLR,Photon,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",6-9 Yrs,"algorithms, python, modeling, data analysis, data analytics, natural language processing, data mining, predictive"
362,Data Scientist,Centre for Effective Governance of Indian States (CEGIS)- CLOP,"Korba, Raigarh, Bhilai, Bilaspur, Raipur",4-6 Yrs,"Procurement, SAN, Data analysis, Nutrition, Performance management, Analytical, Data collection, Healthcare"
363,Data Scientist,Pega,Bengaluru,6-11 Yrs,"Product management, Logistic regression, Core Java, PDF, Neural networks, Machine learning, Agile, Pega"
364,Data Scientist Sahaj Software,Sahaj Retail Limited,"Hyderabad, Pune, Chennai, Bengaluru",7-12 Yrs,"Computer science, Text mining, Computer vision, Coding, Machine learning, Information retrieval, HTML, Data mining"
365,Data Scientist,Conneqt Digital,Bengaluru,5-9 Yrs,"Solution architecture, deep learning, SAS, Analytical, Artificial Intelligence, Machine learning, data visualization, SQL"
366,Data Scientist,Photon,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-12 Yrs,"Automation, orchestration, Coding, Analytical, Machine learning, SCALA, Infrastructure, Mentor"
367,Senior Data Scientist (Artificial Intelligence Machine Learning),Beetle Hiring Solutions,"Australia, Canada, Germany",4-9 Yrs,"Artificial Intelligence, Data Science, Machine Learning, Intelligence, Machine, Data, Science, Senior"
368,Data Scientist,Vacancieshub Hrm Solutions,"Chennai, Bengaluru",5-6 Yrs,"Data Science, Statistical Modeling, Machine Learning, Deep Learning, Statistics, Data, Machine, Modeling"
369,Data Scientist,Fx31 Labs,Remote,4-7 Yrs,"Etl Process, Data Visualization, Data Modeling, Data Warehousing, SQL, Predictive Modeling, Data Cleansing, Ab Testing"
370,Data Scientist | Sutherland | Chennai,Sutherland,Hybrid - Chennai,10-17 Yrs,"data scientist, Machine Learning, Data Analytics, Machine, Analytics, Data"
371,Data Scientist,Ford,Chennai,1-8 Yrs,"Computer science, Automation, C++, Version control, GCP, Analytical, Machine learning, Data mining"
372,Data Scientist & Gen AI,SAP,Gurugram,10-15 Yrs,"Business process, System architecture, Cloud computing, GIT, Consulting, Open source, Analytics, Ariba"
373,Data Scientist-Computer Vision,Adani Group,Kolkata,2-4 Yrs,"Pattern Recognition, Image Processing, Computer Vision, Process, Design patterns, Processing, Vision, Recognition"
374,Data Scientist,BAJAJ FINSERVE,Pune,3-8 Yrs,"Artificial Intelligence, Machine Learning, Python, Pytorch, Tensorflow, Data, Intelligence, Machine"
375,Walkin Drive_ Data Scientist (GENAI)_19th April 25_ Pune,Hexaware Technologies,Hybrid - Pune,4-9 Yrs,"GenAI, Generative AI, Natural Language Processing, Data Science, Python, Azure, Artificial Intelligence, Machine Learning"
376,Risk and Finance Data Scientist,Capgemini,Pune,4-9 Yrs,"algorithms, natural language processing, machine learning, deep learning, data privacy, python, data analytics, neural networks"
377,Data Scientist,MSCI Services,Mumbai,4-7 Yrs,"DSP, Pharma, Finance, Cloud, Equity, Management, Python, Data"
378,Data Scientist,Adhiran Infotech,Chennai,2-5 Yrs,Data Scientist
379,Data Scientist,BAJAJ FINSERVE,"Pune, Delhi / NCR, Mumbai (All Areas)",3-5 Yrs,"Data Science, Artificial Intelligence, Machine Learning, Python, Machine, Intelligence, Data, Science"
380,Data Scientist,New Talent Infotech Solutions,Rewa,8-13 Yrs,Data Scientist
381,Walkin Drive_ Data Scientist (GENAI)_27th April 25_ Hyderabad Location,Hexaware Technologies,Hybrid - Hyderabad,5-10 Yrs,"Data scientist, GenAI, Generative AI, LLM, Data Science, Artificial Intelligence, Natural Language Processing, Neural Networks"
382,Data Scientist - Machine Learning,Rpa Infotech,Gurugram,2-7 Yrs,"Computer science, Operations research, data science, Bfsi, Network analysis, Machine learning, Social networking, Natural language processing"
383,Data Scientist,DTC Infotech,Mumbai,2-4 Yrs,"python, it systems administration, data analysis, data management, modeling, spotfire, analytics tool, visual analytics"
384,Data Scientist,Morningstar,Mumbai,8-13 Yrs,"Financial planning, Intellectual property, Troubleshooting, Forecasting, Operations, Analytics, Product support, SQL"
385,Data Scientist,Ericsson,Noida,8-13 Yrs,"Computer vision, orchestration, GCP, Analytical, Machine learning, Programming, Data processing, SQL"
386,Data Scientist,Agiletech Info Solutions,Chennai,3-8 Yrs,Data Scientist
387,Data Scientist,MSCI Services,Mumbai,4-7 Yrs,"modeling, access, data, bi, numpy, research, artificial intelligence, analytics"
388,Specialist Data Scientist,NICE,Hybrid - Pune,8-11 Yrs,"python, confluence, natural language processing, presentation skills, big data technologies, pyspark, microsoft azure, bert"
389,"Data Scientist I, FinTech",Uber,Hyderabad,5-10 Yrs,"Mining, Root cause analysis, Agile, Taxation, data visualization, Bioinformatics, Analytics, SQL"
390,Industrial Data Scientist,Exxon Mobil Corporation,Bengaluru,3-8 Yrs,"Computer vision, Version control, Networking, data science, Machine learning, Agile, Natural language processing, Operations"
391,Lead Data Scientist - Advanced Machine Learning,Target,Bengaluru,5-9 Yrs,"Supply chain, Business process, Data analysis, Machine learning, Network security, Data structures, Troubleshooting, SQL"
392,Lead Data Scientist Advanced Machine Learning,Target,Bengaluru,5-9 Yrs,"Lead Data Scientist Advanced Machine Learning, Machine, Data, Machine learning"
393,Exp. Data scientist / Data Analyst / AI Expert,Innovadors Lab,Bhubaneswar,1-2 Yrs,"Analytical skills, Artificial Intelligence, Machine learning, Data Analyst, Open source, Python, Exp, Data analysis"
394,Python Data Scientist/Analyst,Turing Global India,Remote,3-5 Yrs,"Data analysis, Debugging, Programming, Data Analyst, Data analytics, data visualization, SQL, Python"
395,Data Scientist,Ltimindtree,Pune,8-13 Yrs,"Automation, data science, Data modeling, Project management, Data collection, Engineering Manager, Regression analysis, Business intelligence"
396,Data Scientist,Praval Infotech,Hyderabad,8-13 Yrs,"deep learning, Web analytics, Machine learning, Shell scripting, Manager Technology, Application software, Monitoring, Analytics"
397,AI/Data Scientist Lead,Zzazz,Bengaluru,4-9 Yrs,"deep learning, Team management, digital content, GCP, Machine learning, Design development, Natural language processing, SQL"
398,Python LLM Data Scientist/Analyst,Turing Global India,Remote,2-5 Yrs,"Analytical skills, Data analysis, data science, Artificial Intelligence, Programming, Data analytics, SQL, Python"
399,Data Scientist/Data Analyst,Turing Global India,Remote,3-5 Yrs,"Data analysis, Debugging, Production, Data Analyst, Python, Analysis, Data"
400,Data Analyst & Data Scientist,Varuna Integrated Logistics,Gurugram,3-8 Yrs,"Computer hardware, Costing, Coding, Analytical, Data processing, MS Office, Data mining, Forecasting"
401,Data Scientist/Data Analyst,Turing Global India,Remote,3-5 Yrs,"Data analysis, data science, Time management, Debugging, Production, Data Analyst, Data analytics, SQL"
402,Sr. Data Scientist/ Sr. Machine Learning Engineer,Go Digital Technology Consulting,Mumbai,4-7 Yrs,"Computer vision, Backend, GCP, Neural networks, Analytical, Machine learning, Data collection, Continuous improvement"
403,Data Scientist,Orange Business Services,Gurugram,3-5 Yrs,"Automation, Front end, Machine learning, Javascript, Data processing, HTML, Application development, Customer support"
404,Data Scientist,Xebia Academy Global,Remote,8-10 Yrs,"Mining, Text mining, Logistic regression, Machine learning, Data mining, Open source, Continuous improvement, Forecasting"
405,Data Scientist,Smiths Detection,Bengaluru,8-13 Yrs,"Google Analytics, Aviation, Data modeling, Analytical, Billing, DNS, HTML, HTTP"
406,Data Scientist and Analyst,Diverse Lynx,Pune,2-6 Yrs,"Data management, Business analytics, Machine learning, data governance, Data Analyst, Data quality, Natural language processing, Data mining"
407,Senior Data Scientist / Machine Learning Engineer,Arivonix,Remote,5-10 Yrs,"Performance tuning, System architecture, Backend, Coding, GCP, Debugging, Machine learning, Data structures"
408,Lead Gen AI Data Scientist - GenAI,Neal Analytics,"Mumbai, Pune, Chennai, Gurugram, Bengaluru",4-9 Yrs,"Career development, GCP, Analytical, Machine learning, Application development, Open source, Analytics, SQL"
409,Data Scientist 1,Paypal,Chennai,5-9 Yrs,"Data analysis, Financial risk, Wellness, Senior Risk Analyst, Risk management, payment solutions, Portfolio management, Analytics"
410,Data Scientist,R Systems International,Pune,3-8 Yrs,"Data Science, EXCEL, AI/ML, ML Models, Python, SQL, Data, Ml"
411,Data Scientist 1,Paypal,Chennai,2-7 Yrs,"Data analysis, Manager Internal Audit, Product engineering, Statistical analysis, Analytical, Diversity and Inclusion, business rules, data integrity"
412,Data Scientist 1,Paypal,Chennai,4-9 Yrs,"OPEX, Dispute resolution, Excel, Diversity and Inclusion, Credit risk management, Scientist 1, Operations, Analytics"
413,Data Scientist -  ML / AI - RCM Knowledge,4D Global,Chennai(Ekkaduthangal),3-8 Yrs,"Artificial Intelligence, Machine Learning, Data Science, Javascript, RCM, Python, Ml, Data"
414,Data Scientist,Zensar,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",3-5 Yrs,"Design engineering, Technology consulting, Focus, Agile, Conceptualization, Management, Technology, Data"
415,Developer - Data Scientist,Medline,Pune,2-7 Yrs,"Data analysis, Enterprise applications, GCP, Analytical, Machine learning, model development, data visualization, SQL"
416,Data Scientist,Caterpillar Inc,"Chennai, Bengaluru",8-13 Yrs,"Data management, Neural networks, Analytical, Machine learning, Heavy equipment, Data structures, data visualization, Data mining"
417,Data Scientist,Indian Express,Noida,1-6 Yrs,"python, data analysis, hypothesis testing, scikit-learn, microsoft azure, relational databases, analysis, machine learning"
418,Data scientists,Mirafra,Bengaluru,3-12 Yrs,Data scientists
419,Physical Data Scientist,Exxon Mobil Corporation,Bengaluru,3-5 Yrs,"C++, Networking, Aerospace, Agile development, Training and Development, MATLAB, Operations, Petroleum"
420,Data Scientist,Pitney Bowes (PBI),Noida,3-4 Yrs,"Computer science, C++, Operations research, Data management, Analytical, Machine learning, Data mining, Business intelligence"
421,Data Scientist,Crisil,"Mumbai, Indore, Pune",8-13 Yrs,"Machine learning, Agile, Data structures, model development, Data quality, Natural language processing, Python, Data extraction"
422,Data Scientist,Valuelabs,"Hybrid - Hyderabad, Bengaluru, Mumbai (All Areas)",7-12 Yrs,"Generative AI, Natural Language Processing, Machine Learning, AWS, Python, Artificial Intelligence, Deep Learning, Processing"
423,Data Scientist,Gravity Ilabs,Bengaluru,8-13 Yrs,"Computer vision, data science, Analytical, Machine learning, Debugging, Cloud, Natural language processing, AWS"
424,Data Scientist,Gravity Consulting,Bengaluru,8-13 Yrs,"Computer vision, data science, Analytical, Machine learning, Debugging, Cloud, Natural language processing, AWS"
425,Data Scientist - SQL/Python,Leading Client,"Mumbai, Delhi / NCR, Bengaluru",5-10 Yrs,"SQL, Data Science, Data Validation, Data Quality, Azure, GCP, Data Scientist, Jupyter"
426,Commercial Data Scientist,Exxon Mobil Corporation,Bengaluru,2-7 Yrs,"Networking, Neural networks, Machine learning, Agile, Pattern recognition, Forecasting, Python, Logistics"
427,Zorba AI - Data Scientist - SQL/Python,Leading Client,"Mumbai, Delhi / NCR, Bengaluru",5-10 Yrs,"SQL, Data Science, Data Validation, Data Quality, Data Scientist, Jupyter, Data Analytics, Python"
428,Data Scientist,Subhag Healthtech,Bengaluru,5-7 Yrs,"Relationship management, ERP, Surgical, Pharma, Analytical, Healthcare, Digital marketing, MS Office"
429,Data Scientist,Paypal,Chennai,3-8 Yrs,"Product engineering, Analytical, Machine learning, Hypothesis Testing, Analytics, Monitoring, SQL, Python"
430,Data Scientist/ ML Engineer,Alpha Ai,Noida,2-7 Yrs,"algorithms, python, data analysis, data analytics, machine learning, data engineering, sql, data quality"
431,ML Engineer / Data Scientist,Spotflock Technologies,Rangareddy,2-4 Yrs,"algorithms, python, modeling, data analysis, data analytics, natural language processing, predictive, machine learning"
432,Data Scientist,Paypal,Hyderabad,4-8 Yrs,"Unix, Data analysis, Linux, Project management, Process improvement, Data mining, SQL, Python"
433,Govt Sector Data Scientist | Python/Alteryx/Power BI,Top MNC Client,Shillong,3-5 Yrs,"Power BI, Alteryx, SQL, Data Science, Python, State Government, MS Excel, Government Projects"
434,Data Scientist / Data Analyst / BI,Tecvesten Consulting,Chennai,3-6 Yrs,"Social media marketing, Typesetting, data science, Technology consulting, Data Analyst, Management, Business intelligence, Digital marketing"
435,Data Scientist/ AIML Developer,Paramatrix Technologies,"New Delhi, Delhi / NCR",6-11 Yrs,"Julia, Java, R, Aiml, Python, Tensorflow, Pytorch, Cnn"
436,Data Scientist,KLA,Chennai,2-6 Yrs,"Supply chain, Computer science, Data analysis, Business analytics, Machine learning, Video conferencing, Predictive modeling, Customer service"
437,Data Scientist / ML Engineer,Turing Global India,Remote,2-5 Yrs,"Purchase, Managed services, Data analytics, Management, Forecasting, Python, Data, Ml"
438,ML Engineer/Data Scientist,Turing Global India,Remote,6-8 Yrs,"Data analysis, Statistical analysis, Machine learning, model development, SQL, Python, Turnaround management, Turnaround"
439,Machine Learning Engineer and Data Scientist,Xcellence It,Surat,2-6 Yrs,"Computer science, Cloud computing, Data analysis, data science, GCP, Artificial Intelligence, Machine learning, Natural language processing"
440,ML Engineer / Data Scientist,Spotflock Technologies,"New Delhi, Hyderabad",5-10 Yrs,"Computer science, Product engineering, Linux, Artificial Intelligence, Machine learning, Agile, Data collection, HTML"
441,Data Scientist (Network Analysis),Turing Global India,Remote,3-7 Yrs,"Object oriented design, neo4j, Neural networks, Network analysis, Machine learning, Data structures, Natural language processing, Oracle"
442,Data Scientist/Engineer (Machine Learning with PyTorch),Turing Global India,Remote,1-5 Yrs,"software architecture, Data modeling, Machine learning, Manager Technology, Data structures, Analytics, Modeling, Data"
443,Data Scientist,KLA,Chennai,4-8 Yrs,"Supply chain, Data analysis, Business analytics, Machine learning, Predictive modeling, Customer service, Data mining, Semiconductor manufacturing"
444,Data Scientist,Crisil,"Hyderabad, Chennai",8-13 Yrs,"Data analysis, GIT, Version control, Machine learning, Cloud, power bi, data visualization, Financial services"
445,Data Scientist/ML Engineer - India,Pursuit Software Development,Kolkata,5-10 Yrs,"Product management, Computer science, Data analysis, Analytical, Machine learning, Data structures, Pattern recognition, Data mining"
446,BI Engineer / Data Scientist,Adeption,Pune,6-11 Yrs,"Automation, SAS, Project management, MySQL, Shell scripting, Informatica, Oracle, Apache"
447,Data Scientist,Photon,Pune,3-5 Yrs,"Retail, Data analysis, data science, Analytical, Machine learning, Business strategy, big data, Analytics"
448,Data Scientist,Photon,Chennai,4-8 Yrs,"deep learning, Coding, GCP, Cloud Services, Machine learning, Programming, Data structures, Natural language processing"
449,Data Scientist,vhr Professional Services,"Singapore, Canada, United Kingdom (UK)",2-7 Yrs,"Data Scientist, Statistical Analysis, R, phython, MySQL, Data Mining, CRM, Statistics"
450,Data Scientist,TransOrg,"Gurgaon/ Gurugram, Bengaluru, Mumbai (All Areas)",3-6 Yrs,"Natural Language Processing, Machine Learning, Python, SQL, Logistic Regression, predictive modeling, Linear Regression, Time Series Analysis"
451,"Data Scientist, Advanced",Zebra Technologies,Bengaluru,3-7 Yrs,"continuous integration, pruning, cd, kubernetes, python, natural language processing, ci/cd, engineering"
452,Data Scientist - Chennai,Blue Prism Solutions,Chennai,2-5 Yrs,"python, NLP, Data Scientist, Retrieval-Augmented Generation, AWS, Numphy, LLM, Natural language processing"
453,Data Engineer / Data Scientist,Wipzo Systech,"Hybrid - Hyderabad, Pune, Delhi / NCR",6-11 Yrs,"Data Engineering, Data Science, AWS, Python, GenAI, mlops, AWS CloudFormation, Hugging Face"
454,Data Scientist ( Contractual ),Arborvitae,Bengaluru,3-5 Yrs,"Python, algorithms, PyTorch, data analysis, Data Scientist, Medical Image Processing, ML, Medical"
455,"Data Scientist (Cloud Management, SQL)",UPS Supply Chain Solutions (UPS SCS),"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",9-10 Yrs,"Computer science, Market analysis, Operations research, Data management, Social science, GCP, Analytical, Open source"
456,Data Scientist,Maximus,Hybrid - Bengaluru,7-9 Yrs,"EDA, Data Science, Data Visualization, Data Modeling, statistical analysis, Tensorflow, Predictive Modeling, Exploratory Data Analysis"
457,Data Scientist,Chevron India,Bengaluru,10-15 Yrs,"data science, algorithms, Artificial Intelligence, Advanced Analytics, Machine Learning, Model Development, Python, Data"
458,Data Scientist - Sales Operations,Enphase Energy,Bengaluru,4-8 Yrs,"PLM, Supply chain, Automation, Data analysis, Analytical, Machine learning, QlikView, Oracle"
459,Data Scientist- Pytorch/ TensorFlow,UPS Supply Chain Solutions (UPS SCS),"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",9-10 Yrs,"Unix, Computer science, Performance tuning, C++, Linux, Data management, Windows, Open source"
460,Data Scientist,Intelex Technologies Ulc,Bengaluru,8-13 Yrs,"Condition monitoring, Computer vision, Automation, Data analysis, Machine learning, Healthcare, Product design, SQL"
461,Data Scientist with Gen AI experience,Colan Infotech,"Chennai, Bengaluru",5-8 Yrs,"Data Science, Artificial Intelligence, Machine Learning, Deep Learning, Decision Tree, SARIMA, ARIMA, Prophet for forecasting"
462,Data Scientist - III,Locus Solution,Bengaluru,6-10 Yrs,"Supply chain, Scientist III, data science, Coding, spark, FMCG, Open source, Distribution system"
463,"Data Scientist, Advanced",Antuit,Bengaluru,8-12 Yrs,"Computer science, Automation, Version control, Coding, GCP, Machine learning, Workflow, Monitoring"
464,Data Scientist,Vistaar Finance,Bengaluru,2-7 Yrs,"Python, Data Integrity, Data Preprocessing, Power Bi, Data Mining, Data Extraction, Data Collection, Tableau"
465,Data Scientist,Acenet,"Pune, Gurugram, Bengaluru",5-8 Yrs,"Supply chain, Machine learning, Javascript, Healthcare, Data structures, Business strategy, Financial services, SQL"
466,Data Scientist,Int9 Solutions,Bengaluru,3-8 Yrs,"Scikit-Learn, PyTorch, TensorFlow, data analysis, AWS ML services, hypothesis testing, probability, Hadoop"
467,Data Scientist/AI&ML  - Technical Lead - Prodapt Labs,Prodapt Solutions,Chennai,7-12 Yrs,"python, c++, tensorflow, java, machine learning algorithms, technical leadership, software testing, scikit-learn"
468,Data Scientist - APM,Smiths Detection,Pune,2-7 Yrs,"Data modeling, Billing, Data structures, HTTP, MVC, Open source, MATLAB, Information technology"
469,Data Scientist,"Commonwealth Bank of Australia, India",Bengaluru,7-9 Yrs,"Data Science, Gen AI, NLP, Python, ML, Natural Language Processing, Machine Learning, SQL"
470,Data Scientist - Stats,Course5 Intelligence,"Hybrid - Gurugram, Bengaluru, Mumbai (All Areas)",3-6 Yrs,"Data Science, Regression, Ml Algorithms, Python, SQL, Azure, GCP, Natural Language Processing"
471,Data Scientist,Weunity Systems Llp,"Hybrid - Pune, Gurugram, Bengaluru",1-6 Yrs,"R, Artificial Intelligence, Natural Language Processing, Statistical Modeling, Machine Learning Algorithms, Machine Learning, Python, Machine"
472,Fraud Data Scientist,Straive,"Hybrid - Hyderabad, Gurugram, Bengaluru",3-8 Yrs,"Machine Learning, Python, SQL, Fraud Detection, Machine, Fraud, Data"
473,Data Scientist,Enterprise Bot,Bengaluru,3-6 Yrs,"deep learning, natural language processing, data science, data mining, machine learning, statistics, Languages, Data"
474,Data Scientist-MMM,Prescience Decision Solutions,Bengaluru,5-8 Yrs,Data Scientist-MMM
475,Data Scientist - (Marketing/Website Performance ),Enphase Energy,Bengaluru,2-5 Yrs,"Data analysis, Google Analytics, Web technologies, Web analytics, Business intelligence, Continuous improvement, Monitoring, SQL"
476,Data Scientist,Abinbev Gcc Services,Bengaluru,3-6 Yrs,"Data Science, Machine Learning, Python, Logistic Regression, Time Series Analysis, Linear Regression, Classification, Regression"
477,Data Scientist,Wildnet Technologies,Bengaluru,3-8 Yrs,"Data Science, Artificial Intelligence, Machine Learning, Aiml, Big Data, Machine, Science, Data"
478,Data Scientist - Gen AI,XA Group,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-6 Yrs,"Automation, Backend, Product engineering, orchestration, Debugging, Machine learning, System design, Transformers"
479,Data Scientist,Witlance Solutions,"Pune, Bengaluru",6-9 Yrs,"Machine Learning, EDA, ML, Python, SQL, Machine, Data"
480,Data scientist & Generative AI,Smart Wealth,"Delhi / NCR, Bengaluru",5-10 Yrs,"Generative AI, Data science, cloud, Gen AI, Azure, NLP, ML and LLM, AWS"
481,Data Scientist ( Market Mix Modelling),Decision Point,"Gurugram, Chennai, Bengaluru",4-8 Yrs,"EDA, Market Mix Modelling, Python, Marketing Mix, Regression Modeling, Bayesian Regression, Optimization, Marketing"
482,Data Scientist,Swift Staffing,"Hyderabad, Chennai, Bengaluru",9-14 Yrs,"Data Science, Chatbot, Aiml, Data, Science"
483,Data Scientist,Neostats Analytics Solutions,Bengaluru,3-7 Yrs,"python, data science, machine learning, machine learning algorithms, data wrangling, programming, Data, Machine"
484,QMMX - Data Scientist,Quation,Bengaluru,4-6 Yrs,"Marketing analytics, GCP, Time series analysis, Cloud, Programming, HTML, Business solutions, Econometrics"
485,Data Scientist,Emperen Technologies,Bengaluru,5-10 Yrs,"Python, Azure, Data Pipelines, Exploratory Data Analysis, EDA, ML libraries, Machine Learning, PyTorch"
486,Data Scientist,Evnek,Bengaluru,5-7 Yrs,"Python, PyTorch, EDA, Pandas, Data Visualization, Machine Learning, NumPy, SQL"
487,Data Scientist,Rezultize,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-8 Yrs,"Computer science, Data analysis, Process optimization, Machine learning, Predictive modeling, Customer engagement, Data mining, Business solutions"
488,Design Technology Data Scientist,Gensler,Bengaluru,4-9 Yrs,"python, r, predictive modeling, data integration tools, machine learning, statistics, Machine, Data integration"
489,Machine Learning-data scientist,Diverse Lynx,Bengaluru,2-6 Yrs,"Machine learning, Machine"
490,Data Scientist,Gartner,Gurugram,3-8 Yrs,"Coding, Machine learning, Data collection, Information retrieval, Natural language processing, Data mining, Recruitment, Python"
491,Data Scientist,AIE Group,Bengaluru,5-10 Yrs,"Usage, data science, spark, Programming, Python, Data, Program, Science"
492,Data Scientist,Digital Glyde,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,"Data analysis, Operations research, Social science, Analytical, Report writing, MySQL, Cloud, Database"
493,Data Scientist - AI ML Team,Customerxps Software,Bengaluru,8-13 Yrs,"Computer science, Automation, Artificial Intelligence, Machine learning, Data collection, Risk management, Monitoring, SQL"
494,Machine Learning Data Scientist - NLP,Forecastera India,"Hyderabad, Bengaluru",3-7 Yrs,"Front end, Machine learning, Information retrieval, Natural language processing, Open source, Analytics, Python, Salesforce"
495,Data Scientist Machine Learning,Symmetrical Global Search,Bengaluru,10-12 Yrs,"deep learning, Data modeling, Coding, Machine learning, E-commerce, HTML, HR, Machine"
496,Data Scientist Predictive Modelling,Symmetrical Global Search,Bengaluru,10-12 Yrs,"Data modeling, Coding, E-commerce, Predictive modeling, HTML, HR, Hrsd, Modeling"
497,Data Scientist,Pluto7,Bengaluru,2-5 Yrs,"exploration, data analytics, presentation skills, engineering, machine learning, data wrangling, artificial intelligence, communication skills"
498,Data Scientist-3,Cashfree Holiday Planners,Bengaluru,5-8 Yrs,"Data analysis, SAS, Machine learning, SCALA, Data collection, Perl, Ruby, Analytics"
499,Data Scientist - 3,Satsure Analytics,Bengaluru,1-6 Yrs,"Aviation, Machine learning, Agile, Resource management, Forecasting, IEEE, Monitoring, Remote sensing"
500,Data Scientist- GLN,Puresoftware,Bengaluru,7-15 Yrs,"Data analysis, data science, Machine learning, Programming, Mentor, Natural language processing, data visualization, Research"
501,Gen AI Architect (Data Scientist),Indium Software,Bengaluru,8-13 Yrs,"Data Science, Gen, Artificial Intelligence, Python, Ai Algorithms, Django, Rest Api Services, Ml"
502,Data Scientist-FinOps,Volvo Auto,Bengaluru,5-8 Yrs,"orchestration, GCP, Analytical, Data quality, Continuous improvement, Business intelligence, Operations, Analytics"
503,Data Scientist,UPS Supply Chain Solutions (UPS SCS),"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,"Computer science, Operations research, Analytical, Debugging, Machine learning, Agile, Operations, SQL"
504,Data Scientist,Equifax Credit Information Services Private Limited,Bengaluru,3-5 Yrs,"Computer science, Operations research, Analytical, Machine learning, Algorithm development, Data structures, Healthcare, Test cases"
505,Data Scientist - LLM / GenAi,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-6 Yrs,"Training, deep learning, Statistical analysis, data science, Scalability, Machine learning, Research, Operations"
506,Data Scientist,Wildnet Technologies Pvt. Ltd,Bengaluru,7-12 Yrs,"IT services, Telecom, Postgresql, Network operations, Machine learning, SEO, Data mining, SQL"
507,Data Scientist,Neoware Technology Solutions,"Mumbai, Chennai, Bengaluru",8-13 Yrs,"Computer vision, Data analysis, GCP, Artificial Intelligence, Machine learning, Business solutions, Information technology, SQL"
508,Data Scientist,Roblox,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-8 Yrs,"SAN, Prototype, People development, Data management, Analytical, Genetics, Operations, Analytics"
509,Data Scientist (ML/NLP Developer),DIGITAP.AI,Bengaluru,1-2 Yrs,"deep learning, Computer vision, Risk analytics, big data analytics, Risk assessment, Machine learning, Natural language processing, Research"
510,Data Scientist 1,Xoom,"Chennai, Bengaluru",5-8 Yrs,"Data analysis, Financial risk, Wellness, Senior Risk Analyst, Risk management, payment solutions, Portfolio management, Analytics"
511,DATA SCIENTIST,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,Bengaluru,2-7 Yrs,"hive, python, data mining, neural networks, predictive analytics, time series, random forest, svm"
512,Data Scientist,Insider Biz,New Delhi,2-4 Yrs,"Machine learning, Data collection, data visualization, Machine, Data, Collections"
513,Data Scientist (Supply Chain),Sparkcognition,Bengaluru,3-7 Yrs,"Supply chain management, data science, Neural networks, Analytical, Artificial Intelligence, Machine learning, Genetics, MATLAB"
514,Data Scientist,Denave,Noida,7-12 Yrs,"Computer vision, Telesales, Business analytics, Javascript, Inside sales, Open source, Digital marketing, Sales account"
515,Data Scientist / Advanced Analytics - Machine Learning,E2E Infoware,"Chennai, Bengaluru",5-8 Yrs,"advanced analytics, deep learning, Artificial Intelligence, R Programming, Machine learning, Python, Data analytics, Intelligence"
516,Data Scientist,Bharat Light & Power (BLP),Bengaluru,3-8 Yrs,"Data analysis, Factor analysis, Linux, Machine learning, Hypothesis Testing, Data processing, big data, SQL"
